Opcio,Steps,stiter,k,lamb,profits,execution time
1,1000,1,1,1.0E-7,77742,0.172
1,1000,1,1,1.0E-6,86596,0.094
1,1000,1,1,9.999999999999999E-6,77330,0.046
1,1000,1,1,9.999999999999999E-5,78456,0.046
1,1000,1,1,0.001,81902,0.038
1,1000,1,11,1.0E-7,65360,0.047
1,1000,1,11,1.0E-6,82894,0.049
1,1000,1,11,9.999999999999999E-6,84824,0.054
1,1000,1,11,9.999999999999999E-5,85694,0.052
1,1000,1,11,0.001,82066,0.048
1,1000,1,21,1.0E-7,79682,0.049
1,1000,1,21,1.0E-6,82374,0.044
1,1000,1,21,9.999999999999999E-6,84254,0.048
1,1000,1,21,9.999999999999999E-5,82030,0.042
1,1000,1,21,0.001,83124,0.039
1,1000,51,1,1.0E-7,80994,0.04
1,1000,51,1,1.0E-6,86300,0.041
1,1000,51,1,9.999999999999999E-6,82790,0.042
1,1000,51,1,9.999999999999999E-5,85968,0.039
1,1000,51,1,0.001,84592,0.036
1,1000,51,11,1.0E-7,78820,0.039
1,1000,51,11,1.0E-6,83700,0.045
1,1000,51,11,9.999999999999999E-6,75232,0.046
1,1000,51,11,9.999999999999999E-5,78848,0.042
1,1000,51,11,0.001,82394,0.041
1,1000,51,21,1.0E-7,79740,0.039
1,1000,51,21,1.0E-6,79502,0.041
1,1000,51,21,9.999999999999999E-6,86316,0.039
1,1000,51,21,9.999999999999999E-5,76452,0.041
1,1000,51,21,0.001,73822,0.041
1,1000,101,1,1.0E-7,81892,0.039
1,1000,101,1,1.0E-6,72406,0.041
1,1000,101,1,9.999999999999999E-6,85512,0.045
1,1000,101,1,9.999999999999999E-5,76746,0.042
1,1000,101,1,0.001,84678,0.04
1,1000,101,11,1.0E-7,80392,0.04
1,1000,101,11,1.0E-6,82802,0.041
1,1000,101,11,9.999999999999999E-6,84834,0.043
1,1000,101,11,9.999999999999999E-5,85580,0.042
1,1000,101,11,0.001,79176,0.037
1,1000,101,21,1.0E-7,83846,0.039
1,1000,101,21,1.0E-6,84922,0.044
1,1000,101,21,9.999999999999999E-6,82752,0.046
