Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION
2,100,empty,19228,0.0
2,100,simple,13464,3.5E-5
2,100,complex,17792,7.18E-5
3,100,empty,28696,0.0
3,100,simple,19048,3.61E-5
3,100,complex,27476,4.69E-5
4,100,empty,38176,0.0
4,100,simple,25552,2.91E-5
4,100,complex,37024,4.8E-5
5,100,empty,47848,0.0
5,100,simple,34116,3.35E-5
5,100,complex,46828,5.65E-5
6,100,empty,57396,0.0
6,100,simple,42892,3.87E-5
6,100,complex,56528,5.66E-5
7,100,empty,67092,0.0
7,100,simple,49712,4.34E-5
7,100,complex,66284,5.41E-5
8,100,empty,76696,0.0
8,100,simple,56416,5.27E-5
8,100,complex,75988,6.58E-5
9,100,empty,85904,0.0
9,100,simple,62068,5.76E-5
9,100,complex,85544,1.08E-4
10,100,empty,95132,0.0
10,100,simple,67760,6.49E-5
10,100,complex,94988,5.44E-5
11,100,empty,104456,0.0
11,100,simple,76512,7.3E-5
11,100,complex,104112,5.34E-5
12,100,empty,113268,0.0
12,100,simple,83180,7.77E-5
12,100,complex,112932,5.9E-5
13,100,empty,118284,0.0
13,100,simple,91908,8.87E-5
13,100,complex,118596,5.76E-5
14,100,empty,118804,0.0
14,100,simple,95764,9.39E-5
14,100,complex,119108,5.81E-5
15,100,empty,119584,0.0
15,100,simple,101468,1.02E-4
15,100,complex,119512,6.35E-5
16,100,empty,119848,0.0
16,100,simple,105256,1.045E-4
16,100,complex,119552,6.27E-5
17,100,empty,119980,0.0
17,100,simple,105060,1.147E-4
17,100,complex,119808,7.12E-5
18,100,empty,120236,0.0
18,100,simple,105060,1.195E-4
18,100,complex,120344,6.72E-5
19,100,empty,120468,0.0
19,100,simple,105104,1.293E-4
19,100,complex,120600,6.59E-5
20,100,empty,120548,0.0
20,100,simple,105104,1.321E-4
20,100,complex,120488,6.63E-5
21,100,empty,120556,0.0
21,100,simple,105104,1.369E-4
21,100,complex,120496,7.15E-5
22,100,empty,120624,0.0
22,100,simple,105112,1.446E-4
22,100,complex,120564,6.98E-5
23,100,empty,120616,0.0
23,100,simple,105376,1.51E-4
23,100,complex,120708,7.35E-5
24,100,empty,120620,0.0
24,100,simple,105376,1.551E-4
24,100,complex,120736,7.3E-5
25,100,empty,120664,0.0
25,100,simple,105376,1.647E-4
25,100,complex,120784,7.47E-5
26,100,empty,120724,0.0
26,100,simple,105376,1.71E-4
26,100,complex,120836,7.55E-5
27,100,empty,120740,0.0
27,100,simple,105376,1.811E-4
27,100,complex,120852,7.77E-5
28,100,empty,120884,0.0
28,100,simple,105396,2.182E-4
28,100,complex,121036,7.74E-5
29,100,empty,120864,0.0
29,100,simple,105396,1.939E-4
29,100,complex,120972,7.82E-5
30,100,empty,120936,0.0
30,100,simple,105396,2.017E-4
30,100,complex,121044,8.59E-5
31,100,empty,120996,0.0
31,100,simple,105396,2.018E-4
31,100,complex,121100,8.15E-5
32,100,empty,121284,0.0
32,100,simple,105396,2.088E-4
32,100,complex,121436,8.53E-5
33,100,empty,121284,0.0
33,100,simple,105396,2.161E-4
33,100,complex,121436,9.36E-5
34,100,empty,121576,0.0
34,100,simple,106140,2.364E-4
34,100,complex,121740,8.85E-5
35,100,empty,121616,0.0
35,100,simple,106192,2.265E-4
35,100,complex,121812,9.0E-5
36,100,empty,121716,0.0
36,100,simple,106492,2.509E-4
36,100,complex,121856,8.97E-5
37,100,empty,121736,0.0
37,100,simple,106600,7.33E-5
37,100,complex,121876,1.004E-4
38,100,empty,121768,0.0
38,100,simple,106600,1.842E-4
38,100,complex,121908,9.06E-5
39,100,empty,121768,0.0
39,100,simple,106600,6.76E-5
39,100,complex,121908,8.3E-5
40,100,empty,121840,0.0
40,100,simple,106676,1.325E-4
40,100,complex,122012,9.23E-5
41,100,empty,121908,0.0
41,100,simple,106676,5.55E-5
41,100,complex,122080,9.04E-5
42,100,empty,122004,0.0
42,100,simple,106700,1.346E-4
42,100,complex,122176,9.31E-5
43,100,empty,122028,0.0
43,100,simple,106700,5.84E-5
43,100,complex,122212,9.09E-5
44,100,empty,122052,0.0
44,100,simple,106740,1.491E-4
44,100,complex,122064,1.018E-4
45,100,empty,122060,0.0
45,100,simple,106740,5.98E-5
45,100,complex,122072,9.91E-5
46,100,empty,122068,0.0
46,100,simple,106740,1.718E-4
46,100,complex,122080,9.43E-5
47,100,empty,122144,0.0
47,100,simple,106740,6.32E-5
47,100,complex,122232,1.003E-4
48,100,empty,122144,0.0
48,100,simple,106740,1.861E-4
48,100,complex,122232,9.48E-5
49,100,empty,122176,0.0
49,100,simple,106740,7.02E-5
49,100,complex,122284,1.032E-4
50,100,empty,122204,0.0
50,100,simple,106740,5.65E-5
50,100,complex,122312,1.022E-4
51,100,empty,122220,0.0
51,100,simple,106740,5.74E-5
51,100,complex,122288,1.035E-4
52,100,empty,122220,0.0
52,100,simple,106672,5.79E-5
52,100,complex,122288,1.045E-4
53,100,empty,122280,0.0
53,100,simple,106748,5.95E-5
53,100,complex,122460,1.049E-4
54,100,empty,122300,0.0
54,100,simple,106748,6.23E-5
54,100,complex,122480,1.081E-4
55,100,empty,122360,0.0
55,100,simple,107472,6.34E-5
55,100,complex,122584,1.123E-4
56,100,empty,122396,0.0
56,100,simple,107472,6.15E-5
56,100,complex,122620,1.124E-4
57,100,empty,122440,0.0
57,100,simple,107484,6.26E-5
57,100,complex,122636,1.07E-4
58,100,empty,122440,0.0
58,100,simple,107484,6.34E-5
58,100,complex,122636,1.147E-4
59,100,empty,122488,0.0
59,100,simple,107484,6.75E-5
59,100,complex,122684,1.17E-4
60,100,empty,122488,0.0
60,100,simple,107484,6.56E-5
60,100,complex,122684,1.15E-4
61,100,empty,122540,0.0
61,100,simple,107484,6.52E-5
61,100,complex,122720,1.114E-4
62,100,empty,122540,0.0
62,100,simple,107484,6.66E-5
62,100,complex,122720,1.222E-4
63,100,empty,122568,0.0
63,100,simple,107484,6.69E-5
63,100,complex,122748,1.132E-4
64,100,empty,122568,0.0
64,100,simple,107484,7.16E-5
64,100,complex,122748,1.24E-4
65,100,empty,122568,0.0
65,100,simple,107484,6.99E-5
65,100,complex,122748,1.196E-4
66,100,empty,122692,0.0
66,100,simple,107640,6.91E-5
66,100,complex,122796,1.24E-4
67,100,empty,122692,0.0
67,100,simple,107640,7.23E-5
67,100,complex,122796,1.183E-4
68,100,empty,122704,0.0
68,100,simple,107676,7.3E-5
68,100,complex,122808,1.281E-4
69,100,empty,122772,0.0
69,100,simple,107676,7.33E-5
69,100,complex,122876,1.265E-4
70,100,empty,122808,0.0
70,100,simple,107696,7.46E-5
70,100,complex,122912,1.248E-4
71,100,empty,122816,0.0
71,100,simple,107720,7.43E-5
71,100,complex,122920,1.256E-4
72,100,empty,122832,0.0
72,100,simple,107720,7.51E-5
72,100,complex,122936,1.355E-4
73,100,empty,122836,0.0
73,100,simple,107792,7.59E-5
73,100,complex,122940,1.33E-4
74,100,empty,122836,0.0
74,100,simple,107792,7.71E-5
74,100,complex,122940,1.334E-4
75,100,empty,122836,0.0
75,100,simple,107792,7.72E-5
75,100,complex,122940,1.341E-4
76,100,empty,122908,0.0
76,100,simple,107796,7.88E-5
76,100,complex,123012,1.264E-4
77,100,empty,122908,0.0
77,100,simple,107796,7.93E-5
77,100,complex,123012,1.39E-4
78,100,empty,122928,0.0
78,100,simple,107796,7.98E-5
78,100,complex,123032,1.352E-4
79,100,empty,122928,0.0
79,100,simple,107840,7.99E-5
79,100,complex,123032,1.418E-4
80,100,empty,122952,0.0
80,100,simple,107840,8.16E-5
80,100,complex,123056,1.398E-4
81,100,empty,122996,0.0
81,100,simple,107844,8.24E-5
81,100,complex,123100,1.424E-4
82,100,empty,123028,0.0
82,100,simple,107844,8.34E-5
82,100,complex,123132,1.423E-4
83,100,empty,123028,0.0
83,100,simple,107844,8.5E-5
83,100,complex,123132,1.372E-4
84,100,empty,123028,0.0
84,100,simple,107844,8.47E-5
84,100,complex,123132,1.429E-4
85,100,empty,123036,0.0
85,100,simple,107868,8.68E-5
85,100,complex,123140,1.417E-4
86,100,empty,123044,0.0
86,100,simple,107868,8.87E-5
86,100,complex,123148,1.652E-4
87,100,empty,123096,0.0
87,100,simple,107868,8.9E-5
87,100,complex,123160,1.448E-4
88,100,empty,123104,0.0
88,100,simple,107868,8.99E-5
88,100,complex,123168,1.466E-4
89,100,empty,123124,0.0
89,100,simple,107888,9.83E-5
89,100,complex,123188,1.578E-4
90,100,empty,123152,0.0
90,100,simple,107888,9.03E-5
90,100,complex,123216,1.495E-4
91,100,empty,123164,0.0
91,100,simple,107888,9.19E-5
91,100,complex,123228,1.509E-4
92,100,empty,123244,0.0
92,100,simple,108208,9.16E-5
92,100,complex,123252,1.56101E-4
93,100,empty,123248,0.0
93,100,simple,108208,9.18E-5
93,100,complex,123256,1.56501E-4
94,100,empty,123260,0.0
94,100,simple,108208,9.3101E-5
94,100,complex,123268,1.565E-4
95,100,empty,123284,0.0
95,100,simple,108208,9.4001E-5
95,100,complex,123320,1.57399E-4
96,100,empty,123284,0.0
96,100,simple,108208,9.6499E-5
96,100,complex,123320,1.571E-4
97,100,empty,123284,0.0
97,100,simple,108208,9.74E-5
97,100,complex,123320,1.69399E-4
98,100,empty,123356,0.0
98,100,simple,108240,9.61E-5
98,100,complex,123392,1.626E-4
99,100,empty,123356,0.0
99,100,simple,108240,1.005E-4
99,100,complex,123392,1.926E-4
100,100,empty,123380,0.0
100,100,simple,108240,1.069E-4
100,100,complex,123416,1.306E-4
100,2,empty,3000,0.0
100,2,simple,2956,3.999E-6
100,2,complex,3000,1.9199E-5
100,3,empty,5040,0.0
100,3,simple,4980,4.599E-6
100,3,complex,5040,1.5E-6
100,4,empty,5040,0.0
100,4,simple,4980,6.0E-6
100,4,complex,5040,1.5E-6
100,5,empty,7080,0.0
