hores,beneficis,executionTime
0,17960,0.22147903
1,17960,0.114062719
2,83296,0.386760127
3,94570,0.459255125
4,97318,0.438863768
5,97318,0.44747786
6,97318,0.429969245
7,97318,0.406973292
8,97318,0.392730808
9,97318,0.387272937
10,97318,0.396327995
11,97318,0.398410195
12,97318,0.394333241
13,97318,0.410699904
14,97318,0.399518676
15,97318,0.408537561
16,97318,0.419219289
17,97318,0.396817611
18,97318,0.392784776
19,97318,0.399431309
20,97318,0.387065207
21,97318,0.391274315
22,97318,0.389931909
23,97318,0.395694758
24,97318,0.418913065
