Seed,numCamions,camions/centre,km recorreguts,Beneficis,executionTime
1234,10,1,1071,97318,0.759047284
1234,5,2,2049,95302,0.559327094
1234,3,3,2400,84560,0.358253233
1234,2,5,2947,93466,0.466011449
76726,10,1,1048,98184,0.778886489
76726,5,2,1576,96768,0.607321633
76726,3,3,1207,87446,0.380823581
76726,2,5,1488,97064,0.458147683
92773,10,1,1318,97504,0.44518239
92773,5,2,1297,97426,0.439133341
92773,3,3,1105,87910,0.350119697
92773,2,5,1718,96324,0.45107639
58798,10,1,825,98530,0.482276038
58798,5,2,1370,97280,0.466772997
58798,3,3,1176,87628,0.37668642
58798,2,5,2060,95900,0.505489171
75044,10,1,1705,96410,0.464809491
75044,5,2,3148,93484,0.45652457
75044,3,3,2630,82400,0.385782753
75044,2,5,3162,93456,0.446212734
21031,10,1,1344,97132,0.428529022
21031,5,2,1837,95966,0.429384096
21031,3,3,1445,86870,0.350473493
21031,2,5,2973,93474,0.432894806
38531,10,1,1363,97394,0.465466097
38531,5,2,1149,97922,0.464268233
38531,3,3,1270,87540,0.382454531
38531,2,5,1653,96934,0.472120179
41677,10,1,1080,97680,0.476403589
41677,5,2,1310,97320,0.456378026
41677,3,3,1246,86988,0.351656884
41677,2,5,1905,95670,0.455829949
16286,10,1,1481,97178,0.45159481
16286,5,2,2023,95934,0.44336414
16286,3,3,1373,87334,0.358265977
16286,2,5,1562,96976,0.456294936
37504,10,1,1390,97280,0.569494513
37504,5,2,2721,92418,0.486686935
37504,3,3,1587,86746,0.371951958
37504,2,5,1633,96934,0.473809004
67919,10,1,1025,97610,0.457353666
67919,5,2,1736,96228,0.441772645
67919,3,3,1400,86740,0.384814803
67919,2,5,2138,95284,0.426450971
