Segons nombre centres,,,,,,,,,,Segons nombre gasolineres,,,,
Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION,,,,,,Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION
2,100,empty,19228,0,,,,,,100,2,empty,3000,0
2,100,simple,13464,3.50E-05,,,,,,100,2,simple,2956,4.00E-06
2,100,complex,17792,7.18E-05,,,,,,100,2,complex,3000,1.92E-05
3,100,empty,28696,0,,,,,,100,3,empty,5040,0
3,100,simple,19048,3.61E-05,,,,,,100,3,simple,4980,4.60E-06
3,100,complex,27476,4.69E-05,,,,,,100,3,complex,5040,1.50E-06
4,100,empty,38176,0,,,,,,100,4,empty,5040,0
4,100,simple,25552,2.91E-05,,,,,,100,4,simple,4980,6.00E-06
4,100,complex,37024,4.80E-05,,,,,,100,4,complex,5040,1.50E-06
5,100,empty,47848,0,,,,,,100,5,empty,7080,0
5,100,simple,34116,3.35E-05,,,,,,100,5,simple,6996,6.90E-06
5,100,complex,46828,5.65E-05,,,,,,100,5,complex,7080,1.90E-06
6,100,empty,57396,0,,,,,,100,6,empty,9120,0
6,100,simple,42892,3.87E-05,,,,,,100,6,simple,7580,8.10E-06
6,100,complex,56528,5.66E-05,,,,,,100,6,complex,9120,2.60E-06
7,100,empty,67092,0,,,,,,100,7,empty,10080,0
7,100,simple,49712,4.34E-05,,,,,,100,7,simple,8540,8.10E-06
7,100,complex,66284,5.41E-05,,,,,,100,7,complex,10080,2.00E-06
8,100,empty,76696,0,,,,,,100,8,empty,11100,0
8,100,simple,56416,5.27E-05,,,,,,100,8,simple,9560,9.80E-06
8,100,complex,75988,6.58E-05,,,,,,100,8,complex,11100,1.70E-06
9,100,empty,85904,0,,,,,,100,9,empty,12060,0
9,100,simple,62068,5.76E-05,,,,,,100,9,simple,10520,1.04E-05
9,100,complex,85544,1.08E-04,,,,,,100,9,complex,12060,1.70E-06
10,100,empty,95132,0,,,,,,100,10,empty,13080,0
10,100,simple,67760,6.49E-05,,,,,,100,10,simple,11540,1.14E-05
10,100,complex,94988,5.44E-05,,,,,,100,10,complex,13080,1.90E-06
11,100,empty,104456,0,,,,,,100,11,empty,14040,0
11,100,simple,76512,7.30E-05,,,,,,100,11,simple,12500,1.21E-05
11,100,complex,104112,5.34E-05,,,,,,100,11,complex,14040,1.80E-06
12,100,empty,113268,0,,,,,,100,12,empty,15000,0
12,100,simple,83180,7.77E-05,,,,,,100,12,simple,13460,1.29E-05
12,100,complex,112932,5.90E-05,,,,,,100,12,complex,15000,1.80E-06
13,100,empty,118284,0,,,,,,100,13,empty,16880,0
13,100,simple,91908,8.87E-05,,,,,,100,13,simple,14864,1.43E-05
13,100,complex,118596,5.76E-05,,,,,,100,13,complex,16880,7.02E-05
14,100,empty,118804,0,,,,,,100,14,empty,17900,0
14,100,simple,95764,9.39E-05,,,,,,100,14,simple,15884,1.54E-05
14,100,complex,119108,5.81E-05,,,,,,100,14,complex,17900,6.50E-06
15,100,empty,119584,0,,,,,,100,15,empty,18920,0
15,100,simple,101468,1.02E-04,,,,,,100,15,simple,16904,1.70E-05
15,100,complex,119512,6.35E-05,,,,,,100,15,complex,18920,6.60E-06
16,100,empty,119848,0,,,,,,100,16,empty,19940,0
16,100,simple,105256,1.05E-04,,,,,,100,16,simple,17924,1.76E-05
16,100,complex,119552,6.27E-05,,,,,,100,16,complex,19940,6.40E-06
17,100,empty,119980,0,,,,,,100,17,empty,20860,0
17,100,simple,105060,1.15E-04,,,,,,100,17,simple,18096,1.85E-05
17,100,complex,119808,7.12E-05,,,,,,100,17,complex,20860,5.99E-05
18,100,empty,120236,0,,,,,,100,18,empty,21780,0
18,100,simple,105060,1.20E-04,,,,,,100,18,simple,19016,1.97E-05
18,100,complex,120344,6.72E-05,,,,,,100,18,complex,21780,1.12E-05
19,100,empty,120468,0,,,,,,100,19,empty,23740,0
19,100,simple,105104,1.29E-04,,,,,,100,19,simple,20956,2.04E-05
19,100,complex,120600,6.59E-05,,,,,,100,19,complex,23740,1.23E-05
20,100,empty,120548,0,,,,,,100,20,empty,24660,0
20,100,simple,105104,1.32E-04,,,,,,100,20,simple,21876,2.23E-05
20,100,complex,120488,6.63E-05,,,,,,100,20,complex,24660,1.42E-05
21,100,empty,120556,0,,,,,,100,21,empty,25680,0
21,100,simple,105104,1.37E-04,,,,,,100,21,simple,22896,2.29E-05
21,100,complex,120496,7.15E-05,,,,,,100,21,complex,25680,1.35E-05
22,100,empty,120624,0,,,,,,100,22,empty,26700,0
22,100,simple,105112,1.45E-04,,,,,,100,22,simple,23916,2.32E-05
22,100,complex,120564,6.98E-05,,,,,,100,22,complex,26700,1.41E-05
23,100,empty,120616,0,,,,,,100,23,empty,28680,0
23,100,simple,105376,1.51E-04,,,,,,100,23,simple,25884,2.50E-05
23,100,complex,120708,7.35E-05,,,,,,100,23,complex,28680,1.39E-05
24,100,empty,120620,0,,,,,,100,24,empty,29660,0
24,100,simple,105376,1.55E-04,,,,,,100,24,simple,26864,2.52E-05
24,100,complex,120736,7.30E-05,,,,,,100,24,complex,29660,1.49E-05
25,100,empty,120664,0,,,,,,100,25,empty,30680,0
25,100,simple,105376,1.65E-04,,,,,,100,25,simple,27884,2.69E-05
25,100,complex,120784,7.47E-05,,,,,,100,25,complex,30680,1.42E-05
26,100,empty,120724,0,,,,,,100,26,empty,32680,0
26,100,simple,105376,1.71E-04,,,,,,100,26,simple,28808,2.84E-05
26,100,complex,120836,7.55E-05,,,,,,100,26,complex,32680,1.34E-05
27,100,empty,120740,0,,,,,,100,27,empty,34680,0
27,100,simple,105376,1.81E-04,,,,,,100,27,simple,31224,2.83E-05
27,100,complex,120852,7.77E-05,,,,,,100,27,complex,34680,9.23E-05
28,100,empty,120884,0,,,,,,100,28,empty,35660,0
28,100,simple,105396,2.18E-04,,,,,,100,28,simple,32204,2.91E-05
28,100,complex,121036,7.74E-05,,,,,,100,28,complex,35660,1.44E-05
29,100,empty,120864,0,,,,,,100,29,empty,35660,0
29,100,simple,105396,1.94E-04,,,,,,100,29,simple,32204,3.03E-05
29,100,complex,120972,7.82E-05,,,,,,100,29,complex,35660,1.39E-05
30,100,empty,120936,0,,,,,,100,30,empty,36620,0
30,100,simple,105396,2.02E-04,,,,,,100,30,simple,33164,3.01E-05
30,100,complex,121044,8.59E-05,,,,,,100,30,complex,36620,1.34E-05
31,100,empty,120996,0,,,,,,100,31,empty,38580,0
31,100,simple,105396,2.02E-04,,,,,,100,31,simple,34396,3.19E-05
31,100,complex,121100,8.15E-05,,,,,,100,31,complex,38580,1.49E-05
32,100,empty,121284,0,,,,,,100,32,empty,39540,0
32,100,simple,105396,2.09E-04,,,,,,100,32,simple,35356,3.32E-05
32,100,complex,121436,8.53E-05,,,,,,100,32,complex,39540,1.46E-05
33,100,empty,121284,0,,,,,,100,33,empty,40496,0
33,100,simple,105396,2.16E-04,,,,,,100,33,simple,36204,3.36E-05
33,100,complex,121436,9.36E-05,,,,,,100,33,complex,40496,1.46E-05
34,100,empty,121576,0,,,,,,100,34,empty,42516,0
34,100,simple,106140,2.36E-04,,,,,,100,34,simple,37720,3.51E-05
34,100,complex,121740,8.85E-05,,,,,,100,34,complex,42516,1.39E-05
35,100,empty,121616,0,,,,,,100,35,empty,44524,0
35,100,simple,106192,2.27E-04,,,,,,100,35,simple,39684,4.09E-05
35,100,complex,121812,9.00E-05,,,,,,100,35,complex,44524,1.45E-05
36,100,empty,121716,0,,,,,,100,36,empty,46484,0
36,100,simple,106492,2.51E-04,,,,,,100,36,simple,41590,3.68E-05
36,100,complex,121856,8.97E-05,,,,,,100,36,complex,46484,1.42E-05
37,100,empty,121736,0,,,,,,100,37,empty,48452,0
37,100,simple,106600,7.33E-05,,,,,,100,37,simple,43744,3.79E-05
37,100,complex,121876,1.00E-04,,,,,,100,37,complex,48452,1.48E-05
38,100,empty,121768,0,,,,,,100,38,empty,50488,0
38,100,simple,106600,1.84E-04,,,,,,100,38,simple,45764,4.00E-05
38,100,complex,121908,9.06E-05,,,,,,100,38,complex,50488,1.42E-05
39,100,empty,121768,0,,,,,,100,39,empty,51484,0
39,100,simple,106600,6.76E-05,,,,,,100,39,simple,46220,4.09E-05
39,100,complex,121908,8.30E-05,,,,,,100,39,complex,51484,1.41E-05
40,100,empty,121840,0,,,,,,100,40,empty,51484,0
40,100,simple,106676,1.33E-04,,,,,,100,40,simple,46220,4.09E-05
40,100,complex,122012,9.23E-05,,,,,,100,40,complex,51484,1.49E-05
41,100,empty,121908,0,,,,,,100,41,empty,52432,0
41,100,simple,106676,5.55E-05,,,,,,100,41,simple,47168,4.20E-05
41,100,complex,122080,9.04E-05,,,,,,100,41,complex,52432,1.59E-05
42,100,empty,122004,0,,,,,,100,42,empty,54320,0
42,100,simple,106700,1.35E-04,,,,,,100,42,simple,49044,4.29E-05
42,100,complex,122176,9.31E-05,,,,,,100,42,complex,54320,1.79E-05
43,100,empty,122028,0,,,,,,100,43,empty,55332,0
43,100,simple,106700,5.84E-05,,,,,,100,43,simple,50056,4.40E-05
